open_time,open,high,low,close,volume,,value,cash,totalValue
2021/12/31 16:00,48004.76,48033.14,47914.24,47962.14,1111.725,,,,
2021/12/31 16:05,47962.14,48008.32,47960.02,47983.1,480.598,,,,
2021/12/31 16:10,47983.11,48030,47963.41,48018.39,336.543,,,,
2021/12/31 16:15,48018.39,48076,48008.86,48042.53,585.334,,,,
2021/12/31 16:20,48044.93,48089.87,48007.55,48067.71,396.407,,,,
2021/12/31 16:25,48067.72,48110.35,48067.71,48101.9,439.405,,,,
2021/12/31 16:30,48101.9,48102.28,47936.67,47962.07,1678.634,,,,
2021/12/31 16:35,47962.07,47962.07,47874,47898.28,963.678,,,,
2021/12/31 16:40,47895,47918.5,47873.11,47897.87,532.896,,,,
2021/12/31 16:45,47897.87,47918.52,47856.07,47869.93,619.271,,,,
2021/12/31 16:50,47869.93,47870.01,47460.68,47600.82,5196.851,,,,
2021/12/31 16:55,47600.82,47604.7,47404.86,47469.54,2657.878,,,,
2021/12/31 17:00,47469.51,47547.47,47435,47491.91,1367.219,,,,
2021/12/31 17:05,47491.91,47523.91,47240,47296.43,2370.107,,,,
2021/12/31 17:10,47299.02,47361.93,47206,47254.7,1763.994,,,,
2021/12/31 17:15,47257.86,47329.7,47146.2,47199.98,1747.445,,,,
2021/12/31 17:20,47199.98,47237.46,47084.91,47194.03,1760.389,,,,
2021/12/31 17:25,47194.03,47235.88,46917,46947.94,3331.047,,,,
2021/12/31 17:30,46942.81,47041.82,46862.87,46909.89,2514.355,,,,
2021/12/31 17:35,46909.23,47037.16,46903.39,47034.4,1348.076,,,,
2021/12/31 17:40,47034.01,47054.68,46926.11,47022.02,1233.935,,,,
2021/12/31 17:45,47022.01,47044.59,46890,46953.86,962.259,,,,
2021/12/31 17:50,46953.87,47006.6,46933.03,46942.81,628.53,,,,
2021/12/31 17:55,46942.82,47019.76,46919.86,47000.02,542.147,,,,
2021/12/31 18:00,47000.01,47021.92,46950.39,47001.87,974.875,,,,
2021/12/31 18:05,47001.88,47019.5,46935,46980.02,1000.202,,,,
2021/12/31 18:10,46980.01,47017.02,46926.62,46936.65,701.883,,,,
2021/12/31 18:15,46936.65,47008,46900,46988.18,609.43,,,,
2021/12/31 18:20,46988.18,47023.99,46950.13,47001.18,624.681,,,,
2021/12/31 18:25,47000.11,47044.97,46938.91,46938.92,462.723,,,,
2021/12/31 18:30,46938.84,46985.51,46906.14,46967.93,580.702,,,,
2021/12/31 18:35,46968.28,46989.74,46888,46904.86,627.681,,,,
2021/12/31 18:40,46904.86,46943.1,46306.98,46692.57,6037.991,,,,
2021/12/31 18:45,46692.58,46762.81,46622.97,46700,1340.324,,,,
2021/12/31 18:50,46700,46728.5,46634.65,46670.62,555.645,,,,
2021/12/31 18:55,46670.61,46700,46551.36,46673.43,1184.498,,,,
2021/12/31 19:00,46676.46,46680,46582.89,46590.01,691.765,,,,
2021/12/31 19:05,46590.81,46624.69,46500,46534.23,1150.214,,,,
2021/12/31 19:10,46534.24,46568.46,46331.54,46413.17,2597.807,,,,
2021/12/31 19:15,46413.16,46433,46238.28,46288.91,1928.683,,,,
2021/12/31 19:20,46288.91,46317.22,46111,46173.01,2379.127,,,,
2021/12/31 19:25,46174.84,46289.28,46058,46067.27,2354.322,,,,
2021/12/31 19:30,46067.3,46300,45900,46060.98,5522.833,,,,
2021/12/31 19:35,46055.78,46185.85,46047.86,46140,1342.936,,,,
2021/12/31 19:40,46140.73,46203.23,46000,46007.24,1178.431,,,,
2021/12/31 19:45,46007.24,46077.79,45854,45943.32,2806.432,,,,
2021/12/31 19:50,45943.32,45946.1,45750,45864.25,3490.333,,,,
2021/12/31 19:55,45861.51,45871.78,45656,45707.62,2276.14,,,,
2021/12/31 20:00,45707.62,46028.55,45650,46027.98,3297.673,,,,
2021/12/31 20:05,46027.97,46199.86,46000.36,46062.94,2821.418,,,,
2021/12/31 20:10,46062.95,46144.98,46057.11,46113.41,913.807,,,,
2021/12/31 20:15,46113.42,46123.14,45812.11,45953.14,2175.06,,,,
2021/12/31 20:20,45953.14,45956.5,45855,45940.13,940.318,,,,
2021/12/31 20:25,45942.07,46093.93,45880,46035.1,1060.531,,,,
2021/12/31 20:30,46035.1,46117.17,46000,46020.17,909.995,,,,
2021/12/31 20:35,46020.17,46035.17,45893.09,45927.66,935.154,,,,
2021/12/31 20:40,45927.66,45982.28,45864.84,45969.87,824.184,,,,
2021/12/31 20:45,45969.87,45973,45865.9,45950,774.212,,,,
2021/12/31 20:50,45950.01,45950.01,45821.95,45914.16,652.158,,,,
2021/12/31 20:55,45914.16,45939.99,45808,45869.26,582.635,,,,
2021/12/31 21:00,45873.21,46073.77,45850,46068.47,1276.609,,,,
2021/12/31 21:05,46068.63,46090.07,45780,45875.98,1856.445,,,,
2021/12/31 21:10,45875.98,45879.41,45750,45810.01,977.66,,,,
2021/12/31 21:15,45810.01,45892.32,45770.03,45883.57,626.964,,,,
2021/12/31 21:20,45887.6,46032.97,45873.17,45990.64,847.78,,,,
2021/12/31 21:25,45990.64,46088,45986.51,46083.28,584.904,,,,
2021/12/31 21:30,46083.29,46270.88,46083.28,46244.22,1810.881,,,,
2021/12/31 21:35,46244.23,46512.32,46229.28,46331.5,3155.43,,,,
2021/12/31 21:40,46331.49,46337.88,46181.51,46226.84,1201.941,,,,
2021/12/31 21:45,46226.83,46281.05,46150,46211.84,801.921,,,,
2021/12/31 21:50,46211.83,46277.6,46181.8,46272.79,431.679,,,,
2021/12/31 21:55,46272.79,46333,46219.64,46313.36,487.52,,,,
2021/12/31 22:00,46313.36,46434.32,46277.96,46429,577.608,,,,
2021/12/31 22:05,46428.99,46470.52,46356.87,46434.43,892.354,,,,
2021/12/31 22:10,46434.44,46542.96,46414.62,46415.01,1010.033,,,,
2021/12/31 22:15,46415.01,46558.39,46375.72,46384.44,905.653,,,,
2021/12/31 22:20,46384.45,46454.29,46370.33,46419.19,532.04,,,,
2021/12/31 22:25,46421.6,46433.83,46370.3,46379.25,312.125,,,,
2021/12/31 22:30,46376.89,46380,46326.56,46328.39,458.488,,,,
2021/12/31 22:35,46328.39,46338.47,46280,46281.92,425.451,,,,
2021/12/31 22:40,46281.92,46312.43,46281.92,46287.19,317.863,,,,
2021/12/31 22:45,46287.19,46453.46,46219.32,46350,839.908,,,,
2021/12/31 22:50,46350,46418.14,46275.37,46357.97,395.55,,,,
2021/12/31 22:55,46357.97,46403.37,46294.94,46298.11,483.199,,,,
2021/12/31 23:00,46298.12,46416,46294.95,46406.01,544.957,,,,
2021/12/31 23:05,46406.01,46443.1,46353.57,46423.44,304.256,,,,
2021/12/31 23:10,46422.02,46450,46375.76,46412.64,275.036,,,,
2021/12/31 23:15,46412.64,46461.77,46386.75,46444.58,326.978,,,,
2021/12/31 23:20,46444.58,46444.59,46338.86,46386.8,337.411,,,,
2021/12/31 23:25,46387.37,46418.02,46328.12,46338.21,260.11,,,,
2021/12/31 23:30,46338.2,46500,46332.56,46461.14,554.715,,,,
2021/12/31 23:35,46461.14,46461.14,46370,46380.58,235.927,,,,
2021/12/31 23:40,46380.57,46508.15,46372.95,46460.89,579.295,,,,
2021/12/31 23:45,46460.9,46460.9,46370.08,46390.55,367.595,,,,
2021/12/31 23:50,46390.54,46390.55,46266.73,46287.25,563.653,,,,
2021/12/31 23:55,46287.26,46287.26,46127.85,46210.56,1066.255,,,,
2022/1/1 0:00,46210.57,46390.83,46210.55,46316.17,1081.09,,,,
2022/1/1 0:05,46316.17,46530.99,46275,46372.32,1260.156,,,,
2022/1/1 0:10,46372.31,46389.93,46270,46335.1,563.988,,,,
2022/1/1 0:15,46335.1,46338.65,46239,46296.93,508.058,,,,
2022/1/1 0:20,46296.97,46422,46290.44,46398.59,524.82,,,,
2022/1/1 0:25,46398.59,46403.99,46351.17,46378.6,262.512,,,,
2022/1/1 0:30,46378.59,46454.48,46358.97,46449.88,361.03,,,,
2022/1/1 0:35,46449.88,46594.6,46449.88,46534.84,886.818,,,,
2022/1/1 0:40,46534.83,46698.15,46505.01,46607.1,1345.921,,,,
2022/1/1 0:45,46607.1,46729.73,46567.49,46697.58,1130.567,,,,
2022/1/1 0:50,46697.58,46710.6,46620.79,46655.5,739.549,,,,
2022/1/1 0:55,46655.49,46688.57,46622.63,46650.01,292.956,,,,
2022/1/1 1:00,46650,46655.78,46570.34,46576.54,500.142,,,,
2022/1/1 1:05,46574.01,46680,46571.32,46675.92,382.497,,,,
2022/1/1 1:10,46675.92,46774.16,46675.12,46771.93,749.82,,,,
2022/1/1 1:15,46771.94,46899.78,46752.38,46875.73,1320.341,,,,
2022/1/1 1:20,46875.33,46944.56,46791.65,46836.22,957.983,,,,
2022/1/1 1:25,46836.22,46864.03,46766.15,46799.99,547.559,,,,
2022/1/1 1:30,46799.99,46854.6,46788,46829.11,421.138,,,,
2022/1/1 1:35,46829.11,46868,46734.72,46783.37,763.859,,,,
2022/1/1 1:40,46783.37,46787.25,46725.69,46748.38,482.332,,,,
2022/1/1 1:45,46748.39,46772.98,46705.87,46759.73,424.866,,,,
2022/1/1 1:50,46759.74,46857.6,46752.24,46800,453.657,,,,
2022/1/1 1:55,46799.99,46815.75,46735.05,46766.78,272.055,,,,
2022/1/1 2:00,46767.44,46815,46759.65,46815,279.188,,,,
2022/1/1 2:05,46814.99,46858.42,46785.53,46799.62,495.005,,,,
2022/1/1 2:10,46799.62,46854.21,46772.25,46831.87,391.442,,,,
2022/1/1 2:15,46834.19,46917.87,46832.44,46902.11,594.955,,,,
